Date,Latitude,Longitude,Sea_Surface_Temperature,HotSpots,Degree_Heating_Weeks,Bleaching_Alert_Area
12/14/2013,0.150,-90.625,24.8250,0.0000,0.0000,0
12/15/2013,0.150,-90.625,25.1613,0.0000,0.0000,0
12/16/2013,0.150,-90.625,25.1388,0.0000,0.0000,0
12/17/2013,0.150,-90.625,24.6347,0.0000,0.0000,0
12/18/2013,0.150,-90.625,24.6853,0.0000,0.0000,0
12/19/2013,0.150,-90.625,25.4948,0.0000,0.0000,0
12/20/2013,0.150,-90.625,24.0770,0.0000,0.0000,0
12/21/2013,0.150,-90.625,25.8609,0.0000,0.0000,0
12/22/2013,0.150,-90.625,25.9263,0.0000,0.0000,0
12/23/2013,0.150,-90.625,26.0110,0.0000,0.0000,0
12/24/2013,0.150,-90.625,25.0724,0.0000,0.0000,0
12/25/2013,0.150,-90.625,25.5169,0.0000,0.0000,0
12/26/2013,0.150,-90.625,25.2232,0.0000,0.0000,0
12/27/2013,0.150,-90.625,25.5164,0.0000,0.0000,0
12/28/2013,0.150,-90.625,25.3810,0.0000,0.0000,0
12/29/2013,0.150,-90.625,26.4925,0.0000,0.0000,0
12/30/2013,0.150,-90.625,25.0948,0.0000,0.0000,0
12/31/2013,0.150,-90.625,24.3415,0.0000,0.0000,0
01/01/2014,0.150,-90.625,25.4166,0.0000,0.0000,0
01/02/2014,0.150,-90.625,24.7434,0.0000,0.0000,0
01/03/2014,0.150,-90.625,24.7306,0.0000,0.0000,0
01/04/2014,0.150,-90.625,24.7277,0.0000,0.0000,0
01/05/2014,0.150,-90.625,24.7431,0.0000,0.0000,0
01/06/2014,0.150,-90.625,24.8414,0.0000,0.0000,0
01/07/2014,0.150,-90.625,25.3645,0.0000,0.0000,0
01/08/2014,0.150,-90.625,26.3432,0.0000,0.0000,0
01/09/2014,0.150,-90.625,26.3146,0.0000,0.0000,0
01/10/2014,0.150,-90.625,26.5382,0.0000,0.0000,0
01/11/2014,0.150,-90.625,26.0053,0.0000,0.0000,0
01/12/2014,0.150,-90.625,26.6074,0.0000,0.0000,0
01/13/2014,0.150,-90.625,26.2583,0.0000,0.0000,0
01/14/2014,0.150,-90.625,26.7674,0.0000,0.0000,0
01/15/2014,0.150,-90.625,25.6319,0.0000,0.0000,0
01/16/2014,0.150,-90.625,25.8173,0.0000,0.0000,0
01/17/2014,0.150,-90.625,26.8322,0.0000,0.0000,0
01/18/2014,0.150,-90.625,25.3927,0.0000,0.0000,0
01/19/2014,0.150,-90.625,25.1119,0.0000,0.0000,0
01/20/2014,0.150,-90.625,25.0477,0.0000,0.0000,0
01/21/2014,0.150,-90.625,26.3706,0.0000,0.0000,0
01/22/2014,0.150,-90.625,26.3514,0.0000,0.0000,0
01/23/2014,0.150,-90.625,25.5345,0.0000,0.0000,0
01/24/2014,0.150,-90.625,25.9311,0.0000,0.0000,0
01/25/2014,0.150,-90.625,25.6498,0.0000,0.0000,0
01/26/2014,0.150,-90.625,25.8501,0.0000,0.0000,0
01/27/2014,0.150,-90.625,25.4056,0.0000,0.0000,0
01/28/2014,0.150,-90.625,25.7323,0.0000,0.0000,0
01/29/2014,0.150,-90.625,25.7651,0.0000,0.0000,0
01/30/2014,0.150,-90.625,25.7966,0.0000,0.0000,0
01/31/2014,0.150,-90.625,25.5013,0.0000,0.0000,0
02/01/2014,0.150,-90.625,25.5394,0.0000,0.0000,0
02/02/2014,0.150,-90.625,25.9988,0.0000,0.0000,0
02/03/2014,0.150,-90.625,25.4987,0.0000,0.0000,0
02/04/2014,0.150,-90.625,25.8875,0.0000,0.0000,0
02/05/2014,0.150,-90.625,26.1307,0.0000,0.0000,0
02/06/2014,0.150,-90.625,25.9046,0.0000,0.0000,0
02/07/2014,0.150,-90.625,26.6470,0.2278,0.0000,1
02/08/2014,0.150,-90.625,26.7028,0.3494,0.0000,1
02/09/2014,0.150,-90.625,26.8110,0.0000,0.0000,1
02/10/2014,0.150,-90.625,25.6192,0.0000,0.0000,1
02/11/2014,0.150,-90.625,26.5045,0.3729,0.0000,1
02/12/2014,0.150,-90.625,26.6466,0.4281,0.0000,1
02/13/2014,0.150,-90.625,26.3896,0.3443,0.0000,1
02/14/2014,0.150,-90.625,27.7873,1.3672,0.1953,2
